A254739;A254749;days;target;y1;y2;y3;y4;xlin1;xlin2;xlin3;xlin4;xlin1_s1lin2;xlin2_s2lin2;xlin3_s3lin2
83,696;85,586;6/1/2011;85,1;85,5;83,4;83,7;85,6;85,51;84,3;84,82;84,62;47,016;92,68;170,315
85,604;87,584;6/2/2011;86,2;86,2;85,3;85,6;87,6;86,28;86,33;86,78;86,62;47,438;94,906;174,255
89,942;92,282;6/3/2011;91,9;89,5;90;89,9;92,3;89,73;91,33;91,24;91,3;49,338;100,408;183,214
85,478;85,1;6/4/2011;84,1;85,9;83,5;85,5;85,1;85,91;84,42;86,65;84,14;47,238;92,806;173,995
94,46;97,286;6/5/2011;96,3;94,9;94,1;94,5;97,3;95,49;95,67;95,89;96,29;52,504;105,175;192,545
97,574;100,994;6/6/2011;99,8;98;97,7;97,6;101;98,83;99,51;99,09;99,99;54,341;109,395;198,977
95,918;98,726;6/7/2011;97,2;96,3;96,4;95,9;98,7;97,03;98,1;97,39;97,73;53,349;107,841;195,557
83,066;86,288;6/8/2011;83,5;86,4;84,8;83,1;86,3;86,41;85,81;84,17;85,32;47,512;94,339;169,014
69,674;72,878;6/9/2011;71;71,8;71,9;69,7;72,9;70,92;72,18;70,4;71,95;38,994;79,345;141,355
66,2;67,766;6/10/2011;66,2;69,8;67,6;66,2;67,8;68,77;67,59;66,82;66,86;37,812;74,306;134,181
75,758;76,694;6/11/2011;76,2;76,2;74,8;75,8;76,7;75,53;75,19;76,65;75,76;41,527;82,663;153,921
77,324;78,98;6/12/2011;78,8;77,9;77,7;77,3;79;77,43;78,29;78,26;78,04;42,572;86,065;157,155
69,314;70,97;6/13/2011;69,2;70,3;69,9;69,3;71;69,23;69,98;70,03;70,05;38,066;76,93;140,612
76,028;78,728;6/14/2011;78,1;79,5;78,1;76;78,7;79,12;78,67;76,93;77,79;43,501;86,485;154,478
84,632;86,396;6/15/2011;86,4;85;85,3;84,6;86,4;84,97;86,35;85,78;85,43;46,72;94,927;172,248
85,118;86,27;6/16/2011;86,8;85,3;84;85,1;86,3;85,24;84,94;86,28;85,31;46,868;93,373;173,252
90,266;92,732;6/17/2011;91,3;92,5;90,9;90,3;92,7;92,92;92,33;91,58;91,75;51,09;101,5;183,884
80,312;82,904;6/18/2011;81,5;82,9;81,4;80,3;82,9;82,71;82,22;81,34;81,95;45,475;90,391;163,326
85,118;87,458;6/19/2011;85,6;86,6;85,5;85,1;87,5;86,66;86,6;86,28;86,49;47,649;95,2;173,252
86,81;88,448;6/20/2011;87,9;88,2;86,7;86,8;88,4;88,35;87,88;88,02;87,48;48,578;96,607;176,746
71,258;72,788;6/21/2011;72;72,9;71,9;71,3;72,8;72,07;72,16;72,03;71,87;39,628;79,324;144,627
74,948;76,586;6/22/2011;76,7;75;74,4;74,9;76,6;74,26;74,83;75,82;75,65;40,831;82,264;152,248
76,604;78,62;6/23/2011;77,1;78,9;76,4;76,6;78,6;78,45;76,87;77,52;77,68;43,132;84,511;155,668
78,17;80,168;6/24/2011;79,4;79,4;78,3;78,2;80,2;78,96;78,92;79,13;79,22;43,417;86,758;158,902
80,564;82,544;6/25/2011;82;80,8;80,6;80,6;82,5;80,52;81,33;81,6;81,59;44,272;89,404;163,846
81,302;82,814;6/26/2011;82,1;82,3;82,1;81,3;82,8;82,09;82,91;82,36;81,86;45,137;91,147;165,37
78,044;80,06;6/27/2011;79,1;79,8;77,9;78;80,1;79,37;78,54;79;79,12;43,638;86,338;158,642
79,61;81,716;6/28/2011;81,1;80,2;79,1;79,6;81,7;79,87;79,8;80,62;80,77;43,913;87,724;161,876
89,78;91,76;6/29/2011;91,3;89,7;89,3;89,8;91,8;89,96;90,55;91,08;90,78;49,465;99,547;182,88
98,78;101,48;6/30/2011;100;100,3;98,4;98,8;101,5;101,25;100,29;100,33;100,47;55,671;110,256;201,467
